# Amusement Detection Log
# Date: 2026-01-06 15:07:04
# Subject: Maria
# Age: 22
# Gender: Female
------------------------------
time, video_id, au25, au12, au6, audio, smile, laughter, amusement
00:13, wqMQNIlzdGk, 0.003, 0.121, 0.000, 0.609, 0.061, 0.159, 0.119
00:14, wqMQNIlzdGk, 0.003, 0.119, 0.000, 0.644, 0.060, 0.165, 0.123
00:14, wqMQNIlzdGk, 0.003, 0.118, 0.000, 0.668, 0.059, 0.170, 0.125
00:14, wqMQNIlzdGk, 0.003, 0.116, 0.000, 0.685, 0.058, 0.172, 0.127
00:14, wqMQNIlzdGk, 0.003, 0.116, 0.000, 0.743, 0.058, 0.184, 0.134
00:14, wqMQNIlzdGk, 0.003, 0.115, 0.000, 0.784, 0.058, 0.192, 0.138
00:14, wqMQNIlzdGk, 0.003, 0.115, 0.000, 0.813, 0.057, 0.198, 0.142
00:14, wqMQNIlzdGk, 0.003, 0.114, 0.000, 0.832, 0.057, 0.201, 0.144
00:14, wqMQNIlzdGk, 0.003, 0.115, 0.000, 0.846, 0.058, 0.205, 0.146
00:14, wqMQNIlzdGk, 0.003, 0.116, 0.000, 0.856, 0.058, 0.207, 0.147
00:14, wqMQNIlzdGk, 0.003, 0.116, 0.000, 0.863, 0.058, 0.208, 0.148
00:14, wqMQNIlzdGk, 0.003, 0.116, 0.000, 0.868, 0.058, 0.209, 0.149
00:14, wqMQNIlzdGk, 0.003, 0.117, 0.000, 0.877, 0.058, 0.211, 0.150
00:14, wqMQNIlzdGk, 0.004, 0.116, 0.000, 0.883, 0.058, 0.212, 0.150
00:14, wqMQNIlzdGk, 0.004, 0.116, 0.000, 0.887, 0.058, 0.213, 0.151
00:14, wqMQNIlzdGk, 0.004, 0.116, 0.000, 0.890, 0.058, 0.213, 0.151
00:14, wqMQNIlzdGk, 0.004, 0.116, 0.000, 0.892, 0.058, 0.214, 0.152
00:15, wqMQNIlzdGk, 0.004, 0.117, 0.000, 0.893, 0.058, 0.215, 0.152
00:15, wqMQNIlzdGk, 0.004, 0.118, 0.000, 0.895, 0.059, 0.215, 0.153
00:15, wqMQNIlzdGk, 0.004, 0.119, 0.000, 0.895, 0.059, 0.215, 0.153
00:15, wqMQNIlzdGk, 0.004, 0.119, 0.000, 0.876, 0.060, 0.212, 0.151
00:15, wqMQNIlzdGk, 0.004, 0.120, 0.000, 0.863, 0.060, 0.209, 0.150
00:15, wqMQNIlzdGk, 0.004, 0.122, 0.000, 0.853, 0.061, 0.208, 0.149
00:15, wqMQNIlzdGk, 0.004, 0.123, 0.000, 0.847, 0.062, 0.207, 0.149
00:15, wqMQNIlzdGk, 0.004, 0.124, 0.000, 0.842, 0.062, 0.207, 0.149
00:15, wqMQNIlzdGk, 0.004, 0.125, 0.000, 0.839, 0.063, 0.206, 0.149
00:15, wqMQNIlzdGk, 0.004, 0.126, 0.000, 0.837, 0.063, 0.206, 0.149
00:15, wqMQNIlzdGk, 0.004, 0.127, 0.000, 0.835, 0.063, 0.206, 0.149
00:15, wqMQNIlzdGk, 0.004, 0.127, 0.000, 0.624, 0.064, 0.164, 0.124
00:15, wqMQNIlzdGk, 0.004, 0.128, 0.000, 0.476, 0.064, 0.134, 0.106
00:15, wqMQNIlzdGk, 0.004, 0.128, 0.000, 0.372, 0.064, 0.114, 0.094
00:15, wqMQNIlzdGk, 0.004, 0.128, 0.000, 0.300, 0.064, 0.099, 0.085
00:15, wqMQNIlzdGk, 0.003, 0.129, 0.000, 0.249, 0.065, 0.089, 0.079
